patient_id,sample_id,section_id,subtype,processing_lab,modality,source_field,source_file,source_sha256,verification_status,notes
UNKNOWN_NOT_A_DEDICATED_FIELD,CID3946,NOT_APPLICABLE_scRNA,TNBC,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=774; GEO=GSM5354517; GEO clinical category=['clinical_subtype: TNBC']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID3948,NOT_APPLICABLE_scRNA,ER+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=2327; GEO=GSM5354518; GEO clinical category=['clinical_subtype: ER+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID3963,NOT_APPLICABLE_scRNA,TNBC,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=3527; GEO=GSM5354519; GEO clinical category=['clinical_subtype: ER+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4040,NOT_APPLICABLE_scRNA,ER+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=2531; GEO=GSM5354520; GEO clinical category=['clinical_subtype: ER+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4066,NOT_APPLICABLE_scRNA,HER2+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=5309; GEO=GSM5354521; GEO clinical category=['clinical_subtype: HER2+/ER+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4067,NOT_APPLICABLE_scRNA,ER+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=3764; GEO=GSM5354522; GEO clinical category=['clinical_subtype: ER+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4290A,NOT_APPLICABLE_scRNA,ER+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=5789; GEO=GSM5354523; GEO clinical category=['clinical_subtype: ER+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4398,NOT_APPLICABLE_scRNA,ER+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=4451; GEO=GSM5354524; GEO clinical category=['clinical_subtype: ER+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID44041,NOT_APPLICABLE_scRNA,TNBC,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=2131; GEO=GSM5354525; GEO clinical category=['clinical_subtype: TNBC']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4461,NOT_APPLICABLE_scRNA,ER+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=631; GEO=GSM5354526; GEO clinical category=['clinical_subtype: ER+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4463,NOT_APPLICABLE_scRNA,ER+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=1138; GEO=GSM5354527; GEO clinical category=['clinical_subtype: ER+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4465,NOT_APPLICABLE_scRNA,TNBC,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=1564; GEO=GSM5354528; GEO clinical category=['clinical_subtype: TNBC']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4471,NOT_APPLICABLE_scRNA,ER+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=8609; GEO=GSM5354529; GEO clinical category=['clinical_subtype: ER+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4495,NOT_APPLICABLE_scRNA,TNBC,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=7985; GEO=GSM5354530; GEO clinical category=['clinical_subtype: TNBC']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID44971,NOT_APPLICABLE_scRNA,TNBC,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=7986; GEO=GSM5354531; GEO clinical category=['clinical_subtype: TNBC']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID44991,NOT_APPLICABLE_scRNA,TNBC,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=7023; GEO=GSM5354532; GEO clinical category=['clinical_subtype: TNBC']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4513,NOT_APPLICABLE_scRNA,TNBC,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=5619; GEO=GSM5354533; GEO clinical category=['clinical_subtype: TNBC']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4515,NOT_APPLICABLE_scRNA,TNBC,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=4149; GEO=GSM5354534; GEO clinical category=['clinical_subtype: TNBC']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID45171,NOT_APPLICABLE_scRNA,HER2+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=2447; GEO=GSM5354535; GEO clinical category=['clinical_subtype: HER2+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4523,NOT_APPLICABLE_scRNA,TNBC,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=1754; GEO=GSM5354536; GEO clinical category=['clinical_subtype: TNBC']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4530N,NOT_APPLICABLE_scRNA,ER+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=4409; GEO=GSM5354537; GEO clinical category=['clinical_subtype: ER+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID4535,NOT_APPLICABLE_scRNA,ER+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=3961; GEO=GSM5354538; GEO clinical category=['clinical_subtype: ER+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_PUBLIC_DONOR,V1_Breast_Cancer_Block_A_Section_1,Block_A_Section_1,PENDING_SOURCE_METADATA_REVIEW,10x public dataset; exact processing laboratory not verified,Visium technical transfer,publisher dataset identity; HDF5 identifiers; spatial bundle,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\10x_blockA_section1\V1_Breast_Cancer_Block_A_Section_1_filtered_feature_bc_matrix.h5,b3cbb6ead60afad848ebcc07a34835613d9d2d79e416ad8300b210d9de584b65,TECHNICAL_INPUT_IDENTITY_OBSERVED; DONOR_OVERLAP_UNKNOWN,No matching spot-level pathology truth; never independent biological replication by default.
