kind,rank,target,successful_sources,failed_sources,support_evidence,contradictory_evidence,current_data_can_verify,current_data_cannot_verify
gene,14,LIFR-AS1,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,15,LINC01489,opentargets;pubmed,reactome;string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,16,THAP10,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,17,DENND4C,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,18,MACC1,opentargets;pubmed,reactome;string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,19,IGLC3,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,20,DMD,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
liana_interaction,1,MIF CD74_CXCR4,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
liana_interaction,2,MIF CD74_CXCR4,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
liana_interaction,3,MIF CD74_CXCR4,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
liana_interaction,4,MIF CD74_CXCR4,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
liana_interaction,5,MIF CD74_CXCR4,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
liana_interaction,6,MIF CD74_CXCR4,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
liana_interaction,7,MIF CD74_CXCR4,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
liana_interaction,8,MIF CD74_CXCR4,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
liana_interaction,9,MIF CD74_CXCR4,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
liana_interaction,10,MIF CD74_CXCR4,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
prespecified,1,CXCL9 CXCR3,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
prespecified,2,CXCL10 CXCR3,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
prespecified,3,CD274 PDCD1,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
prespecified,4,TGFB1 TGFBR1 TGFBR2,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
prespecified,5,SPP1 CD44,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
prespecified,6,HALLMARK_INTERFERON_GAMMA_RESPONSE,opentargets;pubmed,reactome;string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
